postUrl,action,sharedPostUrl,type,imgUrl,postContent,likeCount,commentCount,postDate,profileUrl,timestamp,videoUrl,sharedPostCompanyUrl
https://www.linkedin.com/feed/update/urn:li:activity:7051572862419132416,Post,https://www.summitpartners.com/news/doctrine-receives-growth-investment-from-summit-partners-to-build-leader-in-ai-powered-legal-intelligence,Article,https://media.licdn.com/dms/image/sync/D4E27AQH00NnXq8q14g/articleshare-shrink_800/0/1686072913290?e=1687176000&v=beta&t=hhsy1DjkA9VbYQDOuW2pueBwemrvMNGsRZNEmpww9eU,🔥 It's always day 1,14,0,2mo,https://www.linkedin.com/in/kamil-debbagh,2023-06-12T11:49:14.984Z,,
https://www.linkedin.com/feed/update/urn:li:activity:7048624963628478465,Post,,Image,https://media.licdn.com/dms/image/D4E22AQHM_PN8EaRTGQ/feedshare-shrink_800/0/1680523147293?e=1689206400&v=beta&t=fIPRjCCt49tYLTWOsQk4UekaTA9sW4HWjW6HnPRlIKA,"Why the pay-it-forward culture is real.A few months ago I decided to repay all the generous internet people who helped me in my life by opening free office hours slots in my calendar for whomever could use my advice.During these office hours I met a dozen cool people from all around the world whom I hope got some value from me.But what's best: two of them, Sana & Dimas, opened their own office hours to help other people. In other words: they paid it forward.It's awesome to see how a micro action from my end could lead to this tiny trend.I think the pay-it-forward culture is key to nurture a global community of ambitious creators: I can only hope the movement will grow bigger with time!When are you opening your own office hours? :)",25,4,2mo,https://www.linkedin.com/in/kamil-debbagh,2023-06-12T11:49:14.984Z,,
https://www.linkedin.com/feed/update/urn:li:activity:7046167108245671937,Post,,Image,https://media.licdn.com/dms/image/D4E22AQG5_xtH5_SVUw/feedshare-shrink_800/0/1679937149105?e=1689206400&v=beta&t=d8QOj7FFN-WbPt7yajIhwq6-ODj8zysy30vbHa1L9wA,Just splurged €14 to buy all the lottery tickets the 10yo son of my neighbors was selling door-to-door (very uncommon in France).This little action may be insignificant or somehow fuel him with the confidence to hustle further out of his comfort zone and try bold stuff.Never forget the first business of Warren Buffett was selling bubble gum door-to-door.,25,2,2mo,https://www.linkedin.com/in/kamil-debbagh,2023-06-12T11:49:14.984Z,,
https://www.linkedin.com/feed/update/urn:li:activity:7042169566361214976,Post,,Video (LinkedIn Source),https://media.licdn.com/dms/image/C4E05AQFtuJ96uGpo7g/feedshare-thumbnail_720_1280/0/1678984033558?e=1687176000&v=beta&t=JN2KhRcp5cdmrNSw1xLcUUHeozG2SWndaR3M59OXv30,💩Shitty products: users know you’ve skipped the QA when… ✈️,4,1,3mo,https://www.linkedin.com/in/kamil-debbagh,2023-06-12T11:49:14.985Z,https://dms.licdn.com/playlist/vid/C4E05AQFtuJ96uGpo7g/mp4-720p-30fp-crf28/0/1678984055634?e=1687176000&v=beta&t=gixabM1D2RWAaG9H6-1KimxIpS3L4eSGmiM7zq3U4_o,
https://www.linkedin.com/feed/update/urn:li:activity:7041814800389042177,Post,,Image,https://media.licdn.com/dms/image/C4E22AQED1elJLWZb_g/feedshare-shrink_800/0/1678775576574?e=1689206400&v=beta&t=mH_lRVPWBAr8jy4EOnipZzmcRBtXbulPZjjAIGLoCMI,"Was thrilled to be a member of the Jury of Saclay Pitch Night at CentraleSupélec together with Salim Hassad .I’m so glad to lend my energy to what I wish I could’ve experienced as a student.Congrats to Corentin Bertin, the Start in Saclay team, as well as the winners Tanguy Jardel 🎾♻️ Alexandre Toudret 🎾♻ , this was a top-notch event!",12,1,3mo,https://www.linkedin.com/in/kamil-debbagh,2023-06-12T11:49:14.985Z,,https://www.linkedin.com/company/start-in-saclay/
https://www.linkedin.com/feed/update/urn:li:activity:7041494183286640640,Post,,Image,https://media.licdn.com/dms/image/C5622AQGC02v43e_DEQ/feedshare-shrink_800/0/1678823037159?e=1689206400&v=beta&t=fnbqkpS-Lzt7Z7rGGiYYAHn3JXQ1ffif5SrvHCCG9YQ,"GPT-4 for law: ""it passes a simulated bar exam with a score around the top 10% of test takers; in contrast, GPT-3.5’s [i.e. ChatGPT] score was around the bottom 10%.”Philippe Milinkovic",22,2,3mo,https://www.linkedin.com/in/kamil-debbagh,2023-06-12T11:49:14.985Z,,
https://www.linkedin.com/feed/update/urn:li:activity:7041405785406361600,Post,,Text,,"Just when I thought I finally knew it all about a feature we were designing, Hugo J., a brilliant tax trainee lawyer, amazed me during our user interview with his original insights that we had never gotten before, despite a dozen of previous interviews on the exact same topic.Reminder for myself: when you've reached a plateau through user interviews, you haven't learned it all (yet): if you keep stirring the pot, you'll unearth these rare gems that differentiate average products from products that go above and beyond.",17,1,3mo,https://www.linkedin.com/in/kamil-debbagh,2023-06-12T11:49:14.986Z,,
https://www.linkedin.com/feed/update/urn:li:activity:7041060658376790018,Post,,Image,https://media.licdn.com/dms/image/C4E22AQF6pfHiUeumKQ/feedshare-shrink_800/0/1678719676194?e=1689206400&v=beta&t=YWM-XYJalI8iSLKQ-xMi4mErl2QfqYEPl7HQErR-Bto,"I find all these ""I've read 100 books on X"" posts suspect.I don't know about you but it takes me months to read and digest a substantial book.The aim of non-fiction reading is to improve your mastery of a given topic, not skimming through readings to claim a ""100 books"" medal.Read -> Take notes -> Re-read, organize and summarize notes -> Try to apply learnings. Keep at it for months and get the reps in for 1 single book.That's my recipe to master a topic.A good book is a source of power: you can extract 1% of power out of it and go half-ass the next book in line, or do the actual hard work of extracting the other 99% out of it.Pick your team.",14,1,3mo,https://www.linkedin.com/in/kamil-debbagh,2023-06-12T11:49:14.986Z,,
https://www.linkedin.com/feed/update/urn:li:activity:7034447543698644992,Post,,Image,https://media.licdn.com/dms/image/C4E22AQHD9Wf14KYWBg/feedshare-shrink_800/0/1677078063245?e=1689206400&v=beta&t=uw6oukSq-BJkEyhX451ttLVDctCGb3M8uNUyAK-mlGQ,"Had a blast teaching École Polytechnique students last week on Product Management for founders.Preventing wildfires, generating energy from biowaste, using plant walls to grow food, …As someone from the world of bits, I’m always impressed by makers from the world of atoms, who have both the ambition and skills to make things happen.Thank you for having me Antoine SOUCHAUD, HDR, PhD, CPA!",32,2,3mo,https://www.linkedin.com/in/kamil-debbagh,2023-06-12T11:49:14.986Z,,https://www.linkedin.com/company/doctrine/
https://www.linkedin.com/feed/update/urn:li:activity:7032357653620129792,Post,,Text,,Product is about happiness.,6,0,4mo,https://www.linkedin.com/in/kamil-debbagh,2023-06-12T11:49:14.986Z,,
